"codmun","municipio","uf","regiao","cod_r_saude","r_saude","cod_macro_r_saude","macro_r_saude"
110001,"Alta Floresta D'Oeste","Rondônia","Norte","11005","Zona Da Mata","11005","MACRORREGIONAL II (CACOAL)"
110037,"Alto Alegre dos Parecis","Rondônia","Norte","11005","Zona Da Mata","11005","MACRORREGIONAL II (CACOAL)"
110040,"Alto Paraíso","Rondônia","Norte","11001","Vale Do Jamari","11001","MACRORREGIAO I - PORTO VELHO"
110034,"Alvorada D'Oeste","Rondônia","Norte","11003","Central","11003","MACRORREGIONAL II (CACOAL)"
110002,"Ariquemes","Rondônia","Norte","11001","Vale Do Jamari","11001","MACRORREGIAO I - PORTO VELHO"
110045,"Buritis","Rondônia","Norte","11001","Vale Do Jamari","11001","MACRORREGIAO I - PORTO VELHO"
110003,"Cabixi","Rondônia","Norte","11006","Cone Sul","11006","MACRORREGIONAL II (CACOAL)"
110060,"Cacaulândia","Rondônia","Norte","11001","Vale Do Jamari","11001","MACRORREGIAO I - PORTO VELHO"
110004,"Cacoal","Rondônia","Norte","11002","Cafe","11002","MACRORREGIONAL II (CACOAL)"
110070,"Campo Novo de Rondônia","Rondônia","Norte","11001","Vale Do Jamari","11001","MACRORREGIAO I - PORTO VELHO"
110080,"Candeias do Jamari","Rondônia","Norte","11004","Madeira-Mamore","11004","MACRORREGIAO I - PORTO VELHO"
110090,"Castanheiras","Rondônia","Norte","11005","Zona Da Mata","11005","MACRORREGIONAL II (CACOAL)"
110005,"Cerejeiras","Rondônia","Norte","11006","Cone Sul","11006","MACRORREGIONAL II (CACOAL)"
110092,"Chupinguaia","Rondônia","Norte","11006","Cone Sul","11006","MACRORREGIONAL II (CACOAL)"
110006,"Colorado do Oeste","Rondônia","Norte","11006","Cone Sul","11006","MACRORREGIONAL II (CACOAL)"
110007,"Corumbiara","Rondônia","Norte","11006","Cone Sul","11006","MACRORREGIONAL II (CACOAL)"
110008,"Costa Marques","Rondônia","Norte","11007","Vale Do Guapore","11007","MACRORREGIONAL II (CACOAL)"
110094,"Cujubim","Rondônia","Norte","11001","Vale Do Jamari","11001","MACRORREGIAO I - PORTO VELHO"
110009,"Espigão D'Oeste","Rondônia","Norte","11002","Cafe","11002","MACRORREGIONAL II (CACOAL)"
110100,"Governador Jorge Teixeira","Rondônia","Norte","11003","Central","11003","MACRORREGIAO I - PORTO VELHO"
110010,"Guajará-Mirim","Rondônia","Norte","11004","Madeira-Mamore","11004","MACRORREGIAO I - PORTO VELHO"
110110,"Itapuã do Oeste","Rondônia","Norte","11004","Madeira-Mamore","11004","MACRORREGIAO I - PORTO VELHO"
110011,"Jaru","Rondônia","Norte","11003","Central","11003","MACRORREGIAO I - PORTO VELHO"
110012,"Ji-Paraná","Rondônia","Norte","11003","Central","11003","MACRORREGIONAL II (CACOAL)"
110013,"Machadinho D'Oeste","Rondônia","Norte","11001","Vale Do Jamari","11001","MACRORREGIAO I - PORTO VELHO"
110120,"Ministro Andreazza","Rondônia","Norte","11002","Cafe","11002","MACRORREGIONAL II (CACOAL)"
110130,"Mirante da Serra","Rondônia","Norte","11003","Central","11003","MACRORREGIONAL II (CACOAL)"
110140,"Monte Negro","Rondônia","Norte","11001","Vale Do Jamari","11001","MACRORREGIAO I - PORTO VELHO"
110014,"Nova Brasilândia D'Oeste","Rondônia","Norte","11005","Zona Da Mata","11005","MACRORREGIONAL II (CACOAL)"
